<b>Codepoint</b>,<b>Character</b>,<b>Description</b>,<b>Result</b>
U+0041,A,LATIN CAPITAL LETTER A,Matched
U+0042,B,LATIN CAPITAL LETTER B,Matched
U+0043,C,LATIN CAPITAL LETTER C,Matched
U+0044,D,LATIN CAPITAL LETTER D,Matched
U+0045,E,LATIN CAPITAL LETTER E,Matched
U+0046,F,LATIN CAPITAL LETTER F,Matched
U+0047,G,LATIN CAPITAL LETTER G,Matched
U+0048,H,LATIN CAPITAL LETTER H,Matched
U+0049,I,LATIN CAPITAL LETTER I,Matched
U+004A,J,LATIN CAPITAL LETTER J,Matched
U+004B,K,LATIN CAPITAL LETTER K,Matched
U+004C,L,LATIN CAPITAL LETTER L,Matched
U+004D,M,LATIN CAPITAL LETTER M,Matched
U+004E,N,LATIN CAPITAL LETTER N,Matched
U+004F,O,LATIN CAPITAL LETTER O,Matched
U+0050,P,LATIN CAPITAL LETTER P,Matched
U+0051,Q,LATIN CAPITAL LETTER Q,Matched
U+0052,R,LATIN CAPITAL LETTER R,Matched
U+0053,S,LATIN CAPITAL LETTER S,Matched
U+0054,T,LATIN CAPITAL LETTER T,Matched
U+0055,U,LATIN CAPITAL LETTER U,Matched
U+0056,V,LATIN CAPITAL LETTER V,Matched
U+0057,W,LATIN CAPITAL LETTER W,Matched
U+0058,X,LATIN CAPITAL LETTER X,Matched
U+0059,Y,LATIN CAPITAL LETTER Y,Matched
U+005A,Z,LATIN CAPITAL LETTER Z,Matched
U+0061,a,LATIN SMALL LETTER ,Matched
U+0062,b,LATIN SMALL LETTER b,Matched
U+0063,c,LATIN SMALL LETTER c,Matched
U+0064,d,LATIN SMALL LETTER d,Matched
U+0065,e,LATIN SMALL LETTER e,Matched
U+0066,f,LATIN SMALL LETTER f,Matched
U+0067,g,LATIN SMALL LETTER g,Matched
U+0068,h,LATIN SMALL LETTER h,Matched
U+0069,i,LATIN SMALL LETTER i,Matched
U+006A,j,LATIN SMALL LETTER j,Matched
U+006B,k,LATIN SMALL LETTER k,Matched
U+006C,l,LATIN SMALL LETTER l,Matched
U+006D,m,LATIN SMALL LETTER m,Matched
U+006E,n,LATIN SMALL LETTER n,Matched
U+006F,o,LATIN SMALL LETTER o,Matched
U+0070,p,LATIN SMALL LETTER p,Matched
U+0071,q,LATIN SMALL LETTER q,Matched
U+0072,r,LATIN SMALL LETTER r,Matched
U+0073,s,LATIN SMALL LETTER s,Matched
U+0074,t,LATIN SMALL LETTER t,Matched
U+0075,u,LATIN SMALL LETTER u,Matched
U+0076,v,LATIN SMALL LETTER v,Matched
U+0077,w,LATIN SMALL LETTER w,Matched
U+0078,x,LATIN SMALL LETTER x,Matched
U+0079,y,LATIN SMALL LETTER y,Matched
U+007A,z,LATIN SMALL LETTER z,Matched
U+00C4,Ä,LATIN CAPITAL LETTER A WITH DIAERESIS,Matched
U+00D6,Ö,LATIN CAPITAL LETTER O WITH DIAERESIS,Matched
U+00DC,Ü,LATIN CAPITAL LETTER U WITH DIAERESIS,Matched
U+00DF,ß,LATIN SMALL LETTER SHARP S,Matched
U+00E4,ä,LATIN SMALL LETTER A WITH DIAERESIS,Matched
U+00F6,ö,LATIN SMALL LETTER O WITH DIAERESIS,Matched
U+00FC,ü,LATIN SMALL LETTER U WITH DIAERESIS,Matched
